ztfname,zHD,zHDERR,mB,mBERR,x1,x1ERR,c,cERR,cov_mB_x1,cov_mB_c,cov_x1_c,host_logmass,host_logmass_err,host_logmass_local,host_logmass_local_err,host_color,host_color_err,host_color_local,host_color_local_err,HR_tripp,HR_tripp_err,HR_tripp_err_nosigint
ZTF18aavniyw,0.055008,3.428e-05,18.59549806471774,0.050043541910812554,-2.72833,0.202052,0.102427,0.0401057,0.004702990716331043,0.0017784660603051585,0.00263282,10.01,0.1400142849854971,9.066,0.099,1.22969653,0.017691806013,1.11869653,0.030232432916,0.10688696161436465,0.1875358265326858,0.079181350287158
ZTF18aavsilo,0.0457635,1.461e-05,18.060333261853025,0.04343447275987507,-1.59458,0.244381,0.239808,0.0417354,0.0030911989299167446,0.001342313755252499,-0.00049748,10.837,0.1118033988749895,10.339,0.124,1.40169653,0.018439088915,1.44869653,0.017691806013,-0.28391718905408087,0.2028006453045721,0.11058074758270922
ZTF18aawdpnm,0.043898,1.57e-05,17.30241191667111,0.03708542299536877,-0.445459,0.127746,0.0712564,0.0300392,0.0008568506839033834,0.0009446872668149653,0.000303271,10.814,0.1109233969908963,8.471,0.09,1.29669653,0.019849433241,1.26669653,0.194139125371,-0.27217040056335606,0.18187819150298548,0.06465041797542113
ZTF18aawmxdx,0.0425264,2.165e-05,17.445386241836548,0.055027923451299615,-1.49325,0.167257,-0.0146655,0.0419678,0.00510173329144317,0.0021061422756821165,0.00302248,9.891,0.1030776406404415,9.643,0.044,0.86869653,0.020615528128,1.13269653,0.017691806013,0.059427866522676835,0.1859639969600698,0.07538307612033912
ZTF18aawurud,0.0506769,0.00140247,17.93787269299525,0.03500305796815126,1.06102,0.0858407,0.244838,0.0287082,0.0006347692360587597,0.0008911209941700944,0.000491401,10.521,0.1131768527570898,10.251,0.06,1.22969653,0.018439088915,1.32169653,0.019104973175,-0.274709808030748,0.17919235133802405,0.05665596860040296
ZTF18aaxcntm,0.0267953,1.227e-05,16.83178755163022,0.03300121220469719,-1.43994,0.0347306,0.0408645,0.0272238,1.597193022185325e-05,0.0007808338658374591,-4.73404e-05,10.773,0.1293213052826177,9.305,0.083,1.18169653,0.019209372712,1.25069653,0.019849433241,0.22792017117141478,0.17902187619659604,0.0561144558643257
ZTF18aaxdrjn,0.0338856,1.34e-05,16.90887018574549,0.03563111776024676,-2.03232,0.0968417,-0.0891225,0.0297151,0.0005271006455265188,0.0008973386559379179,2.75228e-05,10.632,0.1407160260951111,8.791,0.068,1.31369653,0.018439088915,1.30769653,0.031064449134,0.09491227747983794,0.18187028588334614,0.06462817409837636
ZTF18aaxsioa,0.0301505,0.0053,16.81751899675026,0.03266098941451037,-1.40598,0.0343861,0.00954471,0.02681,-1.3230559579518832e-05,0.0007600863193310139,-7.91579e-05,9.096,0.1011187420807834,8.655,0.03,0.98269653,0.020518284529,0.99569653,0.044407206622,0.05077198597396729,0.17879900515053782,0.05539931626673784
ZTF18aaybfsd,0.0401333,1.452e-05,17.024022142457085,0.03624595120447965,0.128115,0.107722,0.0217904,0.0307253,0.0008841989708900132,0.0009453259401752534,0.000129525,10.487,0.1256025477448606,9.232,0.101,1.20369653,0.017691806013,1.18569653,0.019104973175,-0.12183013111704663,0.1828879102855982,0.067438770218866
ZTF18aayjvve,0.0472662,1.55e-05,17.626175963527203,0.03349715915818668,-0.134693,0.0659194,0.0505774,0.0271168,0.00028971936638478153,0.0007892033549057906,3.1677e-05,10.418,0.1041201229350023,8.271,0.066,1.32069653,0.018384776311,1.08369653,0.151327459504,-0.018744138587237464,0.17905559024078999,0.05622192096040191
ZTF18aayxupv,0.0474678,0.0031305,17.90433839519615,0.04307484103550635,-1.88039,0.31428,0.0211112,0.0367875,0.004604090185258342,0.0012962247012838041,0.00295043,9.349,0.1118033988749895,9.188,0.081,1.09569653,0.020518284529,1.18169653,0.020518284529,0.09420063211594198,0.19001627127264345,0.0848892416526312
ZTF18aazixbw,0.059425,1.693e-05,18.35221826687947,0.0325850841818468,-1.58541,0.0599029,0.0386823,0.0273899,6.0013138139215564e-05,0.0007680745384714139,-8.61834e-05,10.529,0.1092520022699813,8.584,0.046,0.90269653,0.018439088915,0.82369653,0.046097722286,0.04640620551361509,0.1796705516270837,0.05815072761350924
ZTF18aazsabq,0.0560729,0.00042593,18.208343760997522,0.03257320183590998,-1.04806,0.0498405,0.0370651,0.0269031,7.443724853728762e-06,0.0007599933893683898,-0.000107848,9.958,0.1494021418855834,9.17,0.1,1.40869653,0.022627416998,1.43269653,0.025495097568,0.11008117443395447,0.17908163575024755,0.05630481562872162
ZTF18aazxthg,0.0426448,0.0029904,17.809294417002768,0.04184290201852402,0.786091,0.25696,0.0992299,0.040039,0.004930944631717858,0.0012851696855299092,0.00325034,8.972,0.1088531120363584,7.84,0.031,0.74169653,0.027018512172,0.52769653,0.080056230239,0.3930766466237496,0.19341024106977303,0.09223622580454878
ZTF18abakjgq,0.0503133,0.00368782,17.811964230796406,0.0359860749284158,1.03117,0.0918414,0.105832,0.0301404,0.0006071723719669822,0.0009430626679995447,0.000126643,9.517,0.105304320899002,5.938,0.248,0.86369653,0.022671568098,-3.82930347,7.624962426137,0.02881312283400162,0.18157800517615147,0.06380103419028943
ZTF18abbikrz,0.0467274,1.655e-05,17.61518591601812,0.03908214064135442,-2.8392,0.149778,0.00945954,0.0328052,0.0017655092735272464,0.0010905365970946357,0.000849061,10.509,0.1198165264060012,10.13,0.125,1.32369653,0.018439088915,1.27469653,0.017691806013,-0.25862431658303103,0.18395672031445595,0.07028566673832555
ZTF18abbvsiv,0.0523243,0.00151206,17.62676561028577,0.033015564760686865,-1.83586,0.0558875,-0.0261831,0.0276685,0.00016186829124704202,0.0007857210941269106,1.77793e-06,10.697,0.1232233744059949,9.559,0.071,1.36269653,0.017691806013,1.36769653,0.019798989873,-0.24305555573196524,0.1796742917534264,0.058162282598737285
ZTF18abcdzyc,0.0557237,2.079e-05,18.128856793463605,0.03972082435482529,-0.794997,0.28062,0.0223234,0.0324726,0.003988706785754403,0.001073453586207159,0.00186418,10.196,0.1386217876093076,9.891,0.077,1.19469653,0.018384776311,1.27469653,0.020615528128,0.12400115402108963,0.1865956076968326,0.0769280235788639
ZTF18abcflnz,0.0272838,0.00042083,16.13364492404757,0.03273742127564818,0.5601,0.0547427,-0.00615796,0.0262951,-9.896572345032479e-05,0.0007500410998593469,-0.000230678,9.35,0.1209297316626478,7.648,0.057,0.91069653,0.019849433241,0.57269653,0.138322087896,-0.08881956524729374,0.17871690005075655,0.05513374977046363
ZTF18abcpolh,0.0351206,1.255e-05,17.235262592088546,0.041396783320636045,-0.553848,0.144628,0.157861,0.0338953,0.0019693074919767016,0.0011880108064436777,0.000622312,10.517,0.1127120224288429,8.837,0.042,0.97969653,0.018439088915,0.88569653,0.025455844123,-0.18588835419326272,0.18527547287937668,0.07366818072055695
ZTF18abcrxoj,0.0308662,1.853e-05,16.502120813537328,0.03285165454281772,-1.35799,0.0542061,0.00818213,0.0275024,-4.3923739476389044e-05,0.0007791230883569529,-0.000155533,9.915,0.1332066064427737,9.048,0.1,1.19969653,0.018439088915,1.20569653,0.019104973175,-0.3062251506734918,0.17973548643713416,0.05835105041722244
ZTF18abcrzce,0.0560735,1.648e-05,18.14334745419516,0.0655713877902064,-1.07415,0.260985,0.0376098,0.0503277,0.0018768984601216362,0.003051887992976241,-0.000299179,9.988,0.1268227108999015,9.756,0.038,1.27469653,0.019104973175,1.32769653,0.018439088915,0.03976938518304661,0.20012259340860336,0.10558907326321777
ZTF18abcscfv,0.0373505,0.00297321,17.120951119319873,0.04130250899705844,0.566615,0.25695,0.085721,0.0375065,0.0001555357610076097,0.001269377334184442,-0.00285359,9.595,0.1011187420807834,8.465,0.036,0.80769653,0.022803508502,0.71069653,0.060539243471,-0.033427531669662225,0.19937574365791774,0.10416663169723654
ZTF18abcvush,0.049815,0.00176816,18.125351386637725,0.04030029679124101,-1.41453,0.200536,0.156071,0.034931,0.0016520417682564063,0.001136925526980658,-3.37514e-05,10.699,0.1501465950329877,10.295,0.132,1.32869653,0.017691806013,1.31869653,0.017691806013,-0.13033698713990355,0.19003934556616187,0.08494087863458373
ZTF18abcxyjp,0.0421585,1.738e-05,17.603790289079196,0.03630163403719155,0.129677,0.148949,0.053636,0.0304053,0.0008252824314835247,0.0009110004376323632,-0.000473338,10.533,0.1021812115802117,7.921,0.037,0.94869653,0.018384776311,0.65069653,0.08402380615,0.2595832916609821,0.18505381907367804,0.07310893210650504
ZTF18abdfaqi,0.0482798,1.245e-05,17.18441436255685,0.036246973292270106,0.495941,0.120152,-0.112598,0.0292747,0.0012440189108679036,0.0008727132841416189,6.66384e-05,9.375,0.1033247308247159,8.434,0.031,0.62369653,0.022803508502,0.65969653,0.038948684188,0.07209436684274043,0.1825614645589567,0.06654839097913035
ZTF18abdiqdh,0.0383413,1.415e-05,17.028027540510752,0.08740046194261297,-0.890409,0.338727,0.0294193,0.0628119,0.024045179248301907,0.005006892547947775,0.0142985,10.891,0.125,9.806,0.128,1.23369653,0.018439088915,1.21469653,0.019104973175,-0.20372553393803727,0.1973118390542711,0.10015968166372426
ZTF18abdpvnd,0.0453676,0.0032249,17.21747553871683,0.033434687468536846,2.64927,0.0710828,0.159004,0.0281617,-0.00010695967461164087,0.0008143178065798134,-0.000372003,7.716,0.1501465950329877,6.782,0.382,0.74369653,0.100124921973,0.99169653,0.313453345811,-0.2685962662312875,0.18079299103262486,0.06153133840997424
ZTF18abdrmin,0.051535,1.72e-05,17.885810468876908,0.036374409062631924,-1.15464,0.0860047,0.0451507,0.0302922,0.0003896271261525298,0.0009358021388491866,-7.49529e-05,10.912,0.1600781059358212,9.504,0.125,1.31169653,0.017691806013,1.32369653,0.022803508502,-0.0712908219481438,0.18225700306562528,0.06570856235273556
ZTF18abeecwe,0.0390832,0.00042423,17.013509883522197,0.032974661546530795,-0.418361,0.0440657,0.0302951,0.0270708,2.2289569521034007e-05,0.0007752869450799382,-0.000103342,10.081,0.130598621738516,8.924,0.07,1.29269653,0.018439088915,1.26269653,0.020518284529,-0.1869438815800404,0.17909339854211814,0.05634221686591647
